image_id,image_path,comment,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10
10001,10001.jpg,This is a fake comment for image 1. The lighting is good and colors are vivid.,0.00024892312586953746,0.03537878762680522,0.014253202842345348,0.07037508020234429,0.03639807828254723,0.2398791784532629,0.05833683672834341,0.23855405016503559,0.11801115428420704,0.18856470828923935
10002,10002.jpg,This is a fake comment for image 2. The lighting is good and colors are vivid.,0.12845221154487332,0.1510128689104742,0.17092698013914515,0.09299238133639157,0.07707763151665134,0.10201353658114029,0.06735122094026237,0.07029190434076754,0.00967484791220704,0.1302064167780872
10003,10003.jpg,This is a fake comment for image 3. The lighting is good and colors are vivid.,0.1442536800511034,0.03323213913666775,0.03701944887983879,0.22118986439825514,0.06956501629230485,0.031719868104225335,0.21333073715294437,0.002818743940372662,0.07990984457832206,0.16696065746596564
10004,10004.jpg,This is a fake comment for image 4. The lighting is good and colors are vivid.,0.012855201084893785,0.23701857901645615,0.21780760651503636,0.12697928065035613,0.1988056274895073,0.009508132142496545,0.002672966728412311,0.053407199814310004,0.06688687223722717,0.0740585343213043
10005,10005.jpg,This is a fake comment for image 5. The lighting is good and colors are vivid.,0.09049262628287859,0.1703695711435651,0.03185420614323106,0.06851308809823427,0.14072551941034833,0.04728138258772514,0.12363023939809538,0.04528932070625683,0.13052898551827172,0.15131506071139367
10006,10006.jpg,This is a fake comment for image 6. The lighting is good and colors are vivid.,0.08069308035491209,0.0677969558217511,0.06572557744290658,0.07325978667068585,0.1340530771280614,0.09332813952838652,0.06948503067290997,0.1162992765410253,0.04905808757573096,0.2503009882636304
10007,10007.jpg,This is a fake comment for image 7. The lighting is good and colors are vivid.,0.16840789075165385,0.10781874332058071,0.13305002744810607,0.009646839721143469,0.18212259411617251,0.043552395001032355,0.18929064785599375,0.1187170119622871,0.021573850859037298,0.025819998963992934
10008,10008.jpg,This is a fake comment for image 8. The lighting is good and colors are vivid.,0.021515019646561585,0.09692466692183065,0.1765165359084032,0.16666017880419184,0.09705849618162463,0.11547634310144327,0.0034005581963726245,0.021203132002483027,0.18149492536682438,0.11975014387026485
10009,10009.jpg,This is a fake comment for image 9. The lighting is good and colors are vivid.,0.0952192425447796,0.0350352899431794,0.15801285107654334,0.16030737983942614,0.040264437675635825,0.11111488442629874,0.15551998357279648,0.11331705703620219,0.035192357076539844,0.09601651680859843
100010,100010.jpg,This is a fake comment for image 10. The lighting is good and colors are vivid.,0.14116616497471915,0.17455544289733504,0.14945791215015386,0.017028912944214276,0.03286119387246072,0.13365379214629308,0.050558888219975,0.12782504399583047,0.13581806166456903,0.0370745871344493
